Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
										5.390E+2	4.699E-5		
										5.393E+2	2.496E-5		
										5.397E+2	5.629E-5		
										5.400E+2	4.797E-5		
										5.404E+2	2.692E-5		
										5.407E+2	3.524E-5		
										5.411E+2	6.020E-5		
										5.414E+2	4.307E-5		
										5.418E+2	6.118E-5		
										5.421E+2	3.867E-5		
										5.425E+2	2.692E-5		
										5.428E+2	4.356E-5		
										5.432E+2	4.503E-5		
										5.435E+2	3.475E-5		
										5.438E+2	6.265E-5		
										5.442E+2	4.209E-5		
										5.445E+2	1.958E-5		
										5.449E+2	4.748E-5		
										5.452E+2	3.818E-5		
										5.456E+2	3.622E-5		
										5.459E+2	4.503E-5		
										5.463E+2	4.063E-5		
										5.466E+2	3.426E-5		
										5.470E+2	3.426E-5		
										5.473E+2	3.867E-5		
										5.477E+2	2.545E-5		
										5.480E+2	5.090E-5		
										5.483E+2	4.063E-5		
										5.487E+2	3.622E-5		
										5.490E+2	3.573E-5		
										5.494E+2	3.622E-5		
										5.497E+2	1.811E-5		
										5.501E+2	4.160E-5		
										5.504E+2	4.307E-5		
										5.508E+2	1.517E-5		
										5.511E+2	4.209E-5		
										5.515E+2	4.846E-5		
										5.518E+2	2.986E-5		
										5.522E+2	3.475E-5		
										5.525E+2	1.762E-5		
										5.528E+2	4.356E-5		
										5.532E+2	2.252E-5		
										5.535E+2	2.447E-5		
										5.539E+2	5.922E-5		
										5.542E+2	5.580E-5		
										5.546E+2	1.468E-5		
										5.549E+2	1.958E-5		
										5.553E+2	3.867E-5		
										5.556E+2	2.007E-5		
										5.560E+2	2.741E-5		
										5.563E+2	2.203E-5		
										5.566E+2	9.789E-6		
										5.570E+2	3.818E-5		
										5.573E+2	2.545E-5		
										5.577E+2	2.203E-5		
										5.580E+2	2.154E-5		
										5.584E+2	4.111E-5		
										5.587E+2	6.853E-6		
										5.590E+2	2.692E-5		
										5.594E+2	2.056E-5		
										5.597E+2	2.643E-5		
										5.601E+2	6.853E-6		
										5.604E+2	3.524E-5		
										5.608E+2	2.203E-5		
										5.611E+2	2.349E-5		
										5.615E+2	1.958E-5		
										5.618E+2	1.419E-5		
										5.622E+2	3.622E-5		
										5.625E+2	6.853E-6		
										5.628E+2	3.377E-5		
										5.632E+2	2.692E-5		
										5.635E+2	3.769E-5		
										5.639E+2	2.105E-5		
										5.642E+2	1.713E-5		
										5.646E+2	2.398E-5		
										5.649E+2	7.831E-6		
										5.652E+2	1.371E-5		
										5.656E+2	1.272E-5		
										5.659E+2	2.741E-5		
										5.663E+2	2.545E-5		
										5.666E+2	3.133E-5		
										5.670E+2	2.252E-5		
										5.673E+2	2.545E-5		
										5.677E+2	1.860E-5		
										5.680E+2	2.790E-5		
										5.683E+2	2.692E-5		
										5.687E+2	2.447E-5		
										5.690E+2	2.692E-5		
										5.694E+2	1.224E-5		
										5.697E+2	1.517E-5		
										5.701E+2	1.028E-5		
										5.704E+2	1.126E-5		
										5.708E+2	1.517E-5		
										5.711E+2	1.566E-5		
										5.714E+2	1.272E-5		
										5.718E+2	2.105E-5		
										5.721E+2	1.468E-5		
										5.725E+2	5.874E-6		
										5.728E+2	9.300E-6		
										5.732E+2	3.425E-6		
										5.735E+2	8.810E-6		
										5.738E+2	1.419E-5		
										5.742E+2	6.363E-6		
										5.745E+2	2.447E-6		
										5.749E+2	9.789E-6		
										5.752E+2	1.126E-5		
										5.756E+2	4.895E-6		
										5.759E+2	2.447E-6		
										5.762E+2	1.175E-5		
										5.766E+2	1.322E-5		
										5.769E+2	1.762E-5		
										5.773E+2	5.874E-6		
										5.776E+2	2.154E-5		
										5.780E+2	2.447E-6		
										5.783E+2	4.406E-6		
										5.786E+2	2.692E-5		
										5.790E+2	3.084E-5		
										5.793E+2	1.713E-5		
										5.797E+2	3.475E-5		
										5.800E+2	3.133E-5		
										5.803E+2	6.853E-6		
										5.807E+2	7.831E-6		
										5.810E+2	5.385E-6		
										5.814E+2	3.279E-5		
										5.817E+2	3.769E-5		
										5.821E+2	4.111E-5		
										5.824E+2	4.601E-5		
										5.828E+2	2.594E-5		
										5.831E+2	5.922E-5		
										5.834E+2	7.782E-5		
										5.838E+2	4.503E-5		
										5.841E+2	5.727E-5		
										5.845E+2	6.999E-5		
										5.848E+2	5.678E-5		
										5.851E+2	5.286E-5		
										5.855E+2	6.559E-5		
										5.858E+2	5.678E-5		
										5.862E+2	8.125E-5		
										5.865E+2	6.657E-5		
										5.868E+2	9.202E-5		
										5.872E+2	8.761E-5		
										5.875E+2	1.101E-4		
										5.879E+2	1.038E-4		
										5.882E+2	9.691E-5		
										5.885E+2	1.140E-4		
										5.889E+2	9.495E-5		
										5.892E+2	8.810E-5		
										5.896E+2	8.614E-5		
										5.899E+2	1.136E-4		
										5.903E+2	1.317E-4		
										5.906E+2	1.268E-4		
										5.909E+2	1.459E-4		
										5.913E+2	1.424E-4		
										5.916E+2	1.410E-4		
										5.920E+2	1.615E-4		
										5.923E+2	1.757E-4		
										5.926E+2	1.429E-4		
										5.930E+2	2.056E-4		
										5.933E+2	1.757E-4		
										5.937E+2	1.982E-4		
										5.940E+2	2.100E-4		
										5.943E+2	1.938E-4		
										5.947E+2	2.276E-4		
										5.950E+2	2.408E-4		
										5.954E+2	2.540E-4		
										5.957E+2	2.447E-4		
										5.960E+2	2.858E-4		
										5.964E+2	2.809E-4		
										5.967E+2	3.299E-4		
										5.971E+2	3.162E-4		
										5.974E+2	2.912E-4		
										5.978E+2	3.333E-4		
										5.981E+2	3.593E-4		
										5.984E+2	3.612E-4		
										5.988E+2	3.583E-4		
										5.991E+2	4.048E-4		
										5.995E+2	4.557E-4		
										5.998E+2	4.483E-4		
										6.001E+2	4.562E-4		
										6.005E+2	4.625E-4		
										6.008E+2	5.247E-4		
										6.012E+2	4.890E-4		
										6.015E+2	5.291E-4		
										6.018E+2	5.384E-4		
										6.022E+2	5.888E-4		
										6.025E+2	6.059E-4		
										6.028E+2	6.402E-4		
										6.032E+2	6.862E-4		
										6.035E+2	7.264E-4		
										6.039E+2	7.523E-4		
										6.042E+2	7.782E-4		
										6.045E+2	8.154E-4		
										6.049E+2	8.889E-4		
										6.052E+2	9.045E-4		
										6.056E+2	9.559E-4		
										6.059E+2	9.608E-4		
										6.062E+2	1.033E-3		
										6.066E+2	1.068E-3		
										6.069E+2	1.116E-3		
										6.072E+2	1.178E-3		
										6.076E+2	1.246E-3		
										6.079E+2	1.285E-3		
										6.083E+2	1.342E-3		
										6.086E+2	1.427E-3		
										6.090E+2	1.512E-3		
										6.093E+2	1.568E-3		
										6.096E+2	1.658E-3		
										6.100E+2	1.775E-3		
										6.103E+2	1.822E-3		
										6.106E+2	1.908E-3		
										6.110E+2	2.011E-3		
										6.113E+2	2.069E-3		
