Voltage(V)	Current(A)	PD Current(A)	J (mA/cm2)	L (cd/m2)	Cur Eff (cd/A)	Power Eff (lm/W)	EQE(%)	CIE X	CIE Y	Wav (nm)	Intensity (au)	NeV (V)	NeJ (mA/cm2))
										4.878E+2	1.146E-5		
										4.882E+2	6.745E-6		
										4.885E+2	7.419E-6		
										4.889E+2	0.000E+0		
										4.893E+2	1.348E-6		
										4.896E+2	2.495E-5		
										4.900E+2	2.293E-5		
										4.903E+2	2.023E-5		
										4.907E+2	1.214E-5		
										4.910E+2	2.428E-5		
										4.914E+2	3.371E-6		
										4.917E+2	6.742E-7		
										4.921E+2	2.495E-5		
										4.924E+2	6.745E-6		
										4.928E+2	1.281E-5		
										4.931E+2	1.753E-5		
										4.935E+2	5.394E-6		
										4.938E+2	5.394E-6		
										4.942E+2	6.742E-7		
										4.945E+2	1.484E-5		
										4.949E+2	1.348E-6		
										4.952E+2	6.745E-6		
										4.956E+2	1.214E-5		
										4.960E+2	1.348E-6		
										4.963E+2	2.900E-5		
										4.967E+2	1.348E-6		
										4.970E+2	8.768E-6		
										4.974E+2	1.551E-5		
										4.977E+2	1.618E-5		
										4.981E+2	1.618E-5		
										4.984E+2	1.416E-5		
										4.988E+2	6.742E-7		
										4.991E+2	3.170E-5		
										4.995E+2	1.281E-5		
										4.998E+2	1.956E-5		
										5.002E+2	1.281E-5		
										5.005E+2	3.102E-5		
										5.009E+2	1.281E-5		
										5.012E+2	7.419E-6		
										5.016E+2	2.698E-5		
										5.019E+2	2.226E-5		
										5.023E+2	7.419E-6		
										5.026E+2	1.416E-5		
										5.030E+2	3.102E-5		
										5.034E+2	1.214E-5		
										5.037E+2	3.371E-6		
										5.040E+2	1.012E-5		
										5.044E+2	1.349E-5		
										5.048E+2	1.281E-5		
										5.051E+2	6.071E-6		
										5.055E+2	2.023E-5		
										5.058E+2	2.697E-6		
										5.062E+2	2.697E-6		
										5.065E+2	6.071E-6		
										5.069E+2	2.023E-6		
										5.072E+2	1.618E-5		
										5.076E+2	1.079E-5		
										5.079E+2	9.442E-6		
										5.083E+2	3.035E-5		
										5.086E+2	1.214E-5		
										5.090E+2	6.071E-6		
										5.093E+2	6.745E-6		
										5.097E+2	3.237E-5		
										5.100E+2	6.742E-7		
										5.104E+2	2.023E-5		
										5.107E+2	3.709E-5		
										5.111E+2	3.371E-6		
										5.114E+2	4.045E-6		
										5.118E+2	6.071E-6		
										5.121E+2	6.745E-6		
										5.125E+2	1.618E-5		
										5.128E+2	1.146E-5		
										5.132E+2	4.045E-6		
										5.135E+2	3.371E-6		
										5.139E+2	4.045E-6		
										5.142E+2	1.348E-6		
										5.146E+2	2.765E-5		
										5.149E+2	7.419E-6		
										5.153E+2	2.832E-5		
										5.156E+2	4.856E-5		
										5.160E+2	2.023E-6		
										5.163E+2	7.419E-6		
										5.167E+2	1.214E-5		
										5.170E+2	3.371E-6		
										5.174E+2	2.900E-5		
										5.177E+2	3.844E-5		
										5.181E+2	1.012E-5		
										5.184E+2	1.348E-6		
										5.188E+2	6.742E-7		
										5.191E+2	6.742E-7		
										5.195E+2	8.768E-6		
										5.198E+2	1.888E-5		
										5.202E+2	3.371E-6		
										5.205E+2	2.023E-6		
										5.209E+2	6.071E-6		
										5.212E+2	1.416E-5		
										5.216E+2	1.349E-5		
										5.219E+2	2.697E-6		
										5.223E+2	1.618E-5		
										5.226E+2	1.821E-5		
										5.230E+2	1.551E-5		
										5.233E+2	1.888E-5		
										5.237E+2	1.214E-5		
										5.240E+2	9.442E-6		
										5.244E+2	1.686E-5		
										5.247E+2	1.146E-5		
										5.251E+2	9.442E-6		
										5.254E+2	2.293E-5		
										5.258E+2	1.686E-5		
										5.261E+2	6.742E-7		
										5.265E+2	8.768E-6		
										5.268E+2	1.146E-5		
										5.272E+2	3.439E-5		
										5.275E+2	3.102E-5		
										5.278E+2	4.045E-6		
										5.282E+2	2.697E-6		
										5.285E+2	3.371E-6		
										5.289E+2	1.079E-5		
										5.292E+2	1.888E-5		
										5.296E+2	1.214E-5		
										5.299E+2	1.754E-5		
										5.303E+2	3.371E-6		
										5.306E+2	2.967E-5		
										5.310E+2	1.281E-5		
										5.313E+2	7.419E-6		
										5.317E+2	2.967E-5		
										5.320E+2	1.214E-5		
										5.324E+2	1.348E-6		
										5.327E+2	2.697E-6		
										5.331E+2	2.698E-5		
										5.334E+2	1.618E-5		
										5.338E+2	5.394E-6		
										5.341E+2	2.697E-6		
										5.345E+2	1.214E-5		
										5.348E+2	2.697E-6		
										5.352E+2	1.888E-5		
										5.355E+2	1.821E-5		
										5.358E+2	1.956E-5		
										5.362E+2	2.293E-5		
										5.365E+2	1.348E-6		
										5.369E+2	1.214E-5		
										5.372E+2	2.495E-5		
										5.376E+2	2.158E-5		
										5.379E+2	8.768E-6		
										5.383E+2	4.720E-6		
										5.386E+2	2.698E-5		
										5.390E+2	1.281E-5		
										5.393E+2	1.416E-5		
										5.397E+2	1.348E-6		
										5.400E+2	2.226E-5		
										5.404E+2	1.214E-5		
										5.407E+2	2.226E-5		
										5.411E+2	9.442E-6		
										5.414E+2	6.742E-7		
										5.418E+2	4.045E-6		
										5.421E+2	7.419E-6		
										5.425E+2	2.697E-6		
										5.428E+2	1.821E-5		
										5.432E+2	6.742E-7		
										5.435E+2	4.249E-5		
										5.438E+2	2.832E-5		
										5.442E+2	8.768E-6		
										5.445E+2	1.349E-5		
										5.449E+2	2.226E-5		
										5.452E+2	6.071E-6		
										5.456E+2	6.745E-6		
										5.459E+2	1.348E-6		
										5.463E+2	8.768E-6		
										5.466E+2	5.394E-6		
										5.470E+2	2.698E-5		
										5.473E+2	1.618E-5		
										5.477E+2	3.371E-6		
										5.480E+2	3.371E-6		
										5.483E+2	2.563E-5		
										5.487E+2	1.349E-5		
										5.490E+2	1.754E-5		
										5.494E+2	3.237E-5		
										5.497E+2	1.821E-5		
										5.501E+2	6.745E-6		
										5.504E+2	1.281E-5		
										5.508E+2	2.428E-5		
										5.511E+2	5.394E-6		
										5.515E+2	4.856E-5		
										5.518E+2	2.698E-5		
										5.522E+2	1.618E-5		
										5.525E+2	2.293E-5		
										5.528E+2	2.697E-6		
										5.532E+2	3.372E-5		
										5.535E+2	1.349E-5		
										5.539E+2	8.094E-6		
										5.542E+2	1.012E-5		
